Date,From Currency,To Currency,Rate
2019-09-17,USD,INR,71.7821512788
2019-09-17,USD,EUR,0.9069472157
2019-09-17,USD,USD,1.0
2020-05-14,USD,GBP,0.8200055597
2020-05-14,USD,INR,75.6041512231
2020-05-14,USD,EUR,0.9266123054
2020-05-14,USD,USD,1.0
2019-06-18,USD,GBP,0.7991686779
2019-06-18,USD,INR,69.7242334853
2019-06-18,USD,EUR,0.8938946992
2019-06-18,USD,USD,1.0
2020-01-24,USD,GBP,0.7640507476
2020-01-24,USD,INR,71.2913457182
2020-01-24,USD,EUR,0.9062075215
2020-01-24,USD,USD,1.0
2019-12-11,USD,GBP,0.7606772009
2019-12-11,USD,INR,70.8004514673
2019-12-11,USD,EUR,0.9029345372
2019-12-11,USD,USD,1.0
2019-08-29,USD,GBP,0.8176571532
2019-08-29,USD,INR,71.659591763
2019-08-29,USD,EUR,0.9031791908
2019-08-29,USD,USD,1.0
2019-12-23,USD,GBP,0.7738871332
2019-12-23,USD,INR,71.2826185102
2019-12-23,USD,EUR,0.9029345372
2019-12-23,USD,USD,1.0
2020-01-13,USD,GBP,0.7708071185
2020-01-13,USD,INR,70.8453172749
2020-01-13,USD,EUR,0.8987956139
2020-01-13,USD,USD,1.0
2019-10-09,USD,GBP,0.8182314908
2019-10-09,USD,INR,71.0627447409
2019-10-09,USD,EUR,0.910663874
2019-10-09,USD,USD,1.0
2020-05-13,USD,GBP,0.8114482759
2020-05-13,USD,INR,75.2942528736
2020-05-13,USD,EUR,0.9195402299
2020-05-13,USD,USD,1.0
2019-07-10,USD,GBP,0.8014973262
2019-07-10,USD,INR,68.5837789661
2019-07-10,USD,EUR,0.8912655971
2019-07-10,USD,USD,1.0
2020-04-14,USD,GBP,0.7958861625
2020-04-14,USD,INR,76.1598102709
2020-04-14,USD,EUR,0.9121590805
2020-04-14,USD,USD,1.0
2020-04-15,USD,GBP,0.8014766578
2020-04-15,USD,INR,76.5055489315
2020-04-15,USD,EUR,0.9171787581
2020-04-15,USD,USD,1.0
2020-02-28,USD,GBP,0.7772159971
2020-02-28,USD,INR,72.228295527
2020-02-28,USD,EUR,0.9109957183
2020-02-28,USD,USD,1.0
2020-02-26,USD,GBP,0.7737931034
2020-02-26,USD,INR,71.6501149425
2020-02-26,USD,EUR,0.9195402299
2020-02-26,USD,USD,1.0
2020-03-03,USD,GBP,0.7826751822
2020-03-03,USD,INR,73.2472789422
2020-03-03,USD,EUR,0.8995232527
2020-03-03,USD,USD,1.0
2019-07-17,USD,GBP,0.8055283103
2019-07-17,USD,INR,68.8662505573
2019-07-17,USD,EUR,0.8916629514
2019-07-17,USD,USD,1.0
2019-07-29,USD,GBP,0.8134094793
2019-07-29,USD,INR,68.7777677849
2019-07-29,USD,EUR,0.8993614534
2019-07-29,USD,USD,1.0
2019-09-18,USD,GBP,0.802678006
2019-09-18,USD,INR,71.208721614
2019-09-18,USD,EUR,0.904731747
2019-09-18,USD,USD,1.0
2020-05-07,USD,GBP,0.8112584624
2020-05-07,USD,INR,75.8309375869
2020-05-07,USD,EUR,0.9273856997
2020-05-07,USD,USD,1.0
2020-06-03,USD,GBP,0.7956494551
2020-06-03,USD,INR,75.4917813114
2020-06-03,USD,EUR,0.8933357156
2020-06-03,USD,USD,1.0
2020-01-30,USD,GBP,0.7632876961
2020-01-30,USD,INR,71.6393145344
2020-01-30,USD,EUR,0.9067005168
2020-01-30,USD,USD,1.0
2020-05-25,USD,GBP,0.8204857929
2020-05-25,USD,INR,75.8868010999
2020-05-25,USD,EUR,0.9165902841
2020-05-25,USD,USD,1.0
2019-10-07,USD,GBP,0.8110161012
2019-10-07,USD,INR,70.9938142454
2019-10-07,USD,EUR,0.9096697899
2019-10-07,USD,USD,1.0
2019-06-17,USD,GBP,0.7940893716
2019-06-17,USD,INR,69.9457005519
2019-06-17,USD,EUR,0.890154887
2019-06-17,USD,USD,1.0
2020-05-19,USD,GBP,0.8176712329
2020-05-19,USD,INR,75.6652968037
2020-05-19,USD,EUR,0.9132420091
2020-05-19,USD,USD,1.0
2019-11-06,USD,GBP,0.7757709648
2019-11-06,USD,INR,70.9517583408
2019-11-06,USD,EUR,0.9017132552
2019-11-06,USD,USD,1.0
2020-01-07,USD,GBP,0.7624686717
2020-01-07,USD,INR,71.8447905478
2020-01-07,USD,EUR,0.8950948801
2020-01-07,USD,USD,1.0
2020-05-27,USD,GBP,0.8151669548
2020-05-27,USD,INR,75.7392411973
2020-05-27,USD,EUR,0.9098353198
2020-05-27,USD,USD,1.0
2019-10-11,USD,GBP,0.7925201485
2019-10-11,USD,INR,71.0744362945
2019-10-11,USD,EUR,0.9055510278
2019-10-11,USD,USD,1.0
2019-07-09,USD,GBP,0.8029897367
2019-07-09,USD,INR,68.5238732709
2019-07-09,USD,EUR,0.8924587238
2019-07-09,USD,USD,1.0
2019-10-31,USD,GBP,0.7722162453
2019-10-31,USD,INR,70.9274699659
2019-10-31,USD,EUR,0.8965393581
2019-10-31,USD,USD,1.0
2020-03-10,USD,GBP,0.7672080773
2020-03-10,USD,INR,73.8454784899
2020-03-10,USD,EUR,0.8779631255
2020-03-10,USD,USD,1.0
2019-06-21,USD,GBP,0.7902527395
2019-06-21,USD,INR,69.5462177448
2019-06-21,USD,EUR,0.8837044892
2019-06-21,USD,USD,1.0
2020-03-19,USD,GBP,0.86089251
2020-03-19,USD,INR,75.1226738265
2020-03-19,USD,EUR,0.9258402
2020-03-19,USD,USD,1.0
2019-11-08,USD,GBP,0.7808410368
2019-11-08,USD,INR,71.2814935653
2019-11-08,USD,EUR,0.9062896502
2019-11-08,USD,USD,1.0
2020-03-17,USD,GBP,0.8270169368
2020-03-17,USD,INR,74.2733564014
2020-03-17,USD,EUR,0.9105809506
2020-03-17,USD,USD,1.0
2019-12-30,USD,GBP,0.7615336491
2019-12-30,USD,INR,71.3307712932
2019-12-30,USD,EUR,0.8937349182
2019-12-30,USD,USD,1.0
2019-08-26,USD,GBP,0.8169125585
2019-08-26,USD,INR,72.025008996
2019-08-26,USD,EUR,0.8996041742
2019-08-26,USD,USD,1.0
2020-05-04,USD,GBP,0.8033083531
2020-05-04,USD,INR,75.6598428075
2020-05-04,USD,EUR,0.9139097057
2020-05-04,USD,USD,1.0
2019-11-13,USD,GBP,0.7792113393
2019-11-13,USD,INR,72.0688715246
2019-11-13,USD,EUR,0.9085953116
2019-11-13,USD,USD,1.0
2019-06-11,USD,GBP,0.7869699647
2019-06-11,USD,INR,69.4483215548
2019-06-11,USD,EUR,0.8833922261
2019-06-11,USD,USD,1.0
2019-10-17,USD,GBP,0.7814271574
2019-10-17,USD,INR,71.158553046
2019-10-17,USD,EUR,0.899847026
2019-10-17,USD,USD,1.0
2019-08-09,USD,GBP,0.8288980175
2019-08-09,USD,INR,70.8104125737
2019-08-09,USD,EUR,0.8930166101
2019-08-09,USD,USD,1.0
2020-03-26,USD,GBP,0.8318732356
2020-03-26,USD,INR,75.1611875057
2020-03-26,USD,EUR,0.910663874
2020-03-26,USD,USD,1.0
2019-10-03,USD,GBP,0.8107935348
2019-10-03,USD,INR,70.9665783947
2019-10-03,USD,EUR,0.9131586157
2019-10-03,USD,USD,1.0
2019-12-02,USD,GBP,0.7730926245
2019-12-02,USD,INR,71.6488251837
2019-12-02,USD,EUR,0.9071940488
2019-12-02,USD,USD,1.0
2019-08-20,USD,GBP,0.8272210184
2019-08-20,USD,INR,71.7235464066
2019-08-20,USD,EUR,0.9028530155
2019-08-20,USD,USD,1.0
2020-02-14,USD,GBP,0.7674598783
2020-02-14,USD,INR,71.4499169895
2020-02-14,USD,EUR,0.9223390518
2020-02-14,USD,USD,1.0
2019-09-04,USD,GBP,0.8191595571
2019-09-04,USD,INR,72.0539117807
2019-09-04,USD,EUR,0.9076057361
2019-09-04,USD,USD,1.0
2019-11-26,USD,GBP,0.7778130672
2019-11-26,USD,INR,71.5213248639
2019-11-26,USD,EUR,0.9074410163
2019-11-26,USD,USD,1.0
2019-06-27,USD,GBP,0.7865259455
2019-06-27,USD,INR,69.100703606
2019-06-27,USD,EUR,0.8795074758
2019-06-27,USD,USD,1.0
2019-12-05,USD,GBP,0.7614025599
2019-12-05,USD,INR,71.2272399495
2019-12-05,USD,EUR,0.9013881377
2019-12-05,USD,USD,1.0
2020-02-10,USD,GBP,0.7727878733
2020-02-10,USD,INR,71.3240799927
2020-02-10,USD,EUR,0.9131586157
2020-02-10,USD,USD,1.0
2019-07-02,USD,GBP,0.7914609327
2019-07-02,USD,INR,68.956729493
2019-07-02,USD,EUR,0.8848774445
2019-07-02,USD,USD,1.0
2019-08-19,USD,GBP,0.8248491399
2019-08-19,USD,INR,71.4041250113
2019-08-19,USD,EUR,0.90065748
2019-08-19,USD,USD,1.0
2019-11-15,USD,GBP,0.7763277143
2019-11-15,USD,INR,71.7446075766
2019-11-15,USD,EUR,0.9062896502
2019-11-15,USD,USD,1.0
2020-02-03,USD,GBP,0.7660853063
2020-02-03,USD,INR,71.3930056027
2020-02-03,USD,EUR,0.9036688957
2020-02-03,USD,USD,1.0
2020-02-06,USD,GBP,0.7710169954
2020-02-06,USD,INR,71.1483231846
2020-02-06,USD,EUR,0.9088430428
2020-02-06,USD,USD,1.0
2019-10-01,USD,GBP,0.8162506882
2019-10-01,USD,INR,71.1066250688
2019-10-01,USD,EUR,0.9175995596
2019-10-01,USD,USD,1.0
2020-05-05,USD,GBP,0.8029143226
2020-05-05,USD,INR,75.7571705248
2020-05-05,USD,EUR,0.9222539887
2020-05-05,USD,USD,1.0
2019-07-19,USD,GBP,0.7984589346
2019-07-19,USD,INR,68.8174772849
2019-07-19,USD,EUR,0.8907892393
2019-07-19,USD,USD,1.0
2019-08-12,USD,GBP,0.827362873
2019-08-12,USD,INR,71.2399499732
2019-08-12,USD,EUR,0.8933357156
2019-08-12,USD,USD,1.0
2019-12-31,USD,GBP,0.7573437778
2019-12-31,USD,INR,71.3788499199
2019-12-31,USD,EUR,0.890154887
2019-12-31,USD,USD,1.0
2020-02-13,USD,GBP,0.7672310665
2020-02-13,USD,INR,71.2703598049
2020-02-13,USD,EUR,0.9202171713
2020-02-13,USD,USD,1.0
2020-04-09,USD,GBP,0.805788166
2020-04-09,USD,INR,76.311309469
2020-04-09,USD,EUR,0.9202171713
2020-04-09,USD,USD,1.0
2019-11-28,USD,GBP,0.7740118128
2019-11-28,USD,INR,71.6124488869
2019-11-28,USD,EUR,0.9086778737
2019-11-28,USD,USD,1.0
2020-04-23,USD,GBP,0.809506127
2020-04-23,USD,INR,76.0675826216
2020-04-23,USD,EUR,0.9283327144
2020-04-23,USD,USD,1.0
2020-03-02,USD,GBP,0.7832494156
2020-03-02,USD,INR,72.7540010789
2020-03-02,USD,EUR,0.8991188635
2020-03-02,USD,USD,1.0
2020-01-08,USD,GBP,0.7635447593
2020-01-08,USD,INR,71.7130004498
2020-01-08,USD,EUR,0.8996851102
2020-01-08,USD,USD,1.0
2020-04-21,USD,GBP,0.8131401679
2020-04-21,USD,INR,76.9364215189
2020-04-21,USD,EUR,0.9227646027
2020-04-21,USD,USD,1.0
2020-03-30,USD,GBP,0.805691499
2020-03-30,USD,INR,75.6751857894
2020-03-30,USD,EUR,0.9062896502
2020-03-30,USD,USD,1.0
2020-02-20,USD,GBP,0.7770157553
2020-02-20,USD,INR,71.6167747915
2020-02-20,USD,EUR,0.9267840593
2020-02-20,USD,USD,1.0
2020-06-01,USD,GBP,0.8067020511
2020-06-01,USD,INR,75.5109751709
2020-06-01,USD,EUR,0.8996041742
2020-06-01,USD,USD,1.0
2019-07-05,USD,GBP,0.796651865
2019-07-05,USD,INR,68.4809058615
2019-07-05,USD,EUR,0.8880994671
2019-07-05,USD,USD,1.0
2019-06-26,USD,GBP,0.7886199613
2019-06-26,USD,INR,69.1519978877
2019-06-26,USD,EUR,0.8801267383
2019-06-26,USD,USD,1.0
2019-11-22,USD,GBP,0.7775366251
2019-11-22,USD,INR,71.6865617652
2019-11-22,USD,EUR,0.9043226623
2019-11-22,USD,USD,1.0
2020-02-17,USD,GBP,0.7682325796
2020-02-17,USD,INR,71.3816335948
2020-02-17,USD,EUR,0.9229349331
2020-02-17,USD,USD,1.0
2020-03-24,USD,GBP,0.8493959236
2020-03-24,USD,INR,75.9549940053
2020-03-24,USD,EUR,0.9222539887
2020-03-24,USD,USD,1.0
2020-04-06,USD,GBP,0.8136409971
2020-04-06,USD,INR,76.0874803077
2020-04-06,USD,EUR,0.9266981744
2020-04-06,USD,USD,1.0
2019-09-16,USD,GBP,0.8023751246
2019-09-16,USD,INR,71.6004895295
2019-09-16,USD,EUR,0.9065361255
2019-09-16,USD,USD,1.0
2019-12-27,USD,GBP,0.7632923877
2019-12-27,USD,INR,71.4041065184
2019-12-27,USD,EUR,0.8966197436
2019-12-27,USD,USD,1.0
2019-11-29,USD,GBP,0.7760426152
2019-11-29,USD,INR,71.651338554
2019-11-29,USD,EUR,0.9105809506
2019-11-29,USD,USD,1.0
2020-01-02,USD,GBP,0.7578665237
2020-01-02,USD,INR,71.3897078531
2020-01-02,USD,EUR,0.8934155276
2020-01-02,USD,USD,1.0
2020-03-04,USD,GBP,0.7806741573
2020-03-04,USD,INR,73.2606741573
2020-03-04,USD,EUR,0.8988764045
2020-03-04,USD,USD,1.0
2020-05-11,USD,GBP,0.811853289
2020-05-11,USD,INR,75.8462675536
2020-05-11,USD,EUR,0.9238728751
2020-05-11,USD,USD,1.0
2020-05-18,USD,GBP,0.8230520679
2020-05-18,USD,INR,75.8341026588
2020-05-18,USD,EUR,0.9231905465
2020-05-18,USD,USD,1.0
2019-12-17,USD,GBP,0.7592546139
2019-12-17,USD,INR,70.9581616198
2019-12-17,USD,EUR,0.8958967927
2019-12-17,USD,USD,1.0
2019-08-14,USD,GBP,0.8283249911
2019-08-14,USD,INR,71.2750268144
2019-08-14,USD,EUR,0.8938148016
2019-08-14,USD,USD,1.0
2020-04-08,USD,GBP,0.80901481
2020-04-08,USD,INR,76.2330972312
2020-04-08,USD,EUR,0.919878576
2020-04-08,USD,USD,1.0
2020-02-11,USD,GBP,0.7735528851
2020-02-11,USD,INR,71.2728190074
2020-02-11,USD,EUR,0.9173470324
2020-02-11,USD,USD,1.0
2019-11-25,USD,GBP,0.7768441134
2019-11-25,USD,INR,71.7087572674
2019-11-25,USD,EUR,0.9084302326
2019-11-25,USD,USD,1.0
2019-10-04,USD,GBP,0.8110483651
2019-10-04,USD,INR,70.9003552236
2019-10-04,USD,EUR,0.9108297659
2019-10-04,USD,USD,1.0
2019-12-18,USD,GBP,0.7652271705
2019-12-18,USD,INR,70.9806567701
2019-12-18,USD,EUR,0.8996851102
2019-12-18,USD,USD,1.0
2019-06-20,USD,GBP,0.7884938534
2019-06-20,USD,INR,69.4317679314
2019-06-20,USD,EUR,0.8844078889
2019-06-20,USD,USD,1.0
2019-08-16,USD,GBP,0.8218941856
2019-08-16,USD,INR,71.1484290358
2019-08-16,USD,EUR,0.9028530155
2019-08-16,USD,USD,1.0
2020-03-09,USD,GBP,0.7627706006
2020-03-09,USD,INR,74.1620111732
2020-03-09,USD,EUR,0.8729050279
2020-03-09,USD,USD,1.0
2019-07-01,USD,GBP,0.7905366112
2019-07-01,USD,INR,68.9364701736
2019-07-01,USD,EUR,0.8811349018
2019-07-01,USD,USD,1.0
2020-02-19,USD,GBP,0.7698888889
2020-02-19,USD,INR,71.5134259259
2020-02-19,USD,EUR,0.9259259259
2020-02-19,USD,USD,1.0
2020-03-27,USD,GBP,0.8175548875
2020-03-27,USD,INR,75.4937596793
2020-03-27,USD,EUR,0.9109957183
2020-03-27,USD,USD,1.0
2020-04-20,USD,GBP,0.8042633517
2020-04-20,USD,INR,76.5593922652
2020-04-20,USD,EUR,0.9208103131
2020-04-20,USD,USD,1.0
2019-07-30,USD,GBP,0.8217052179
2019-07-30,USD,INR,68.8161197777
2019-07-30,USD,EUR,0.8965393581
2019-07-30,USD,USD,1.0
2020-04-01,USD,GBP,0.8088880761
2020-04-01,USD,INR,76.4451353328
2020-04-01,USD,EUR,0.9144111192
2020-04-01,USD,USD,1.0
2019-10-15,USD,GBP,0.7909330426
2019-10-15,USD,INR,71.4963205233
2019-10-15,USD,EUR,0.9085127646
2019-10-15,USD,USD,1.0
2019-10-29,USD,GBP,0.7780802163
2019-10-29,USD,INR,70.8562415502
2019-10-29,USD,EUR,0.901306895
2019-10-29,USD,USD,1.0
2020-04-16,USD,GBP,0.800541881
2020-04-16,USD,INR,76.8782145481
2020-04-16,USD,EUR,0.9184423218
2020-04-16,USD,USD,1.0
2019-12-13,USD,GBP,0.747342044
2019-12-13,USD,INR,70.7544299266
2019-12-13,USD,EUR,0.8949346698
2019-12-13,USD,USD,1.0
2019-09-27,USD,GBP,0.8118701417
2019-09-27,USD,INR,70.4787379973
2019-09-27,USD,EUR,0.9144947417
2019-09-27,USD,USD,1.0
2019-12-09,USD,GBP,0.7602257336
2019-12-09,USD,INR,71.067268623
2019-12-09,USD,EUR,0.9029345372
2019-12-09,USD,USD,1.0
2019-10-18,USD,GBP,0.7756191673
2019-10-18,USD,INR,71.1355886576
2019-10-18,USD,EUR,0.8973438622
2019-10-18,USD,USD,1.0
2019-11-19,USD,GBP,0.772528663
2019-11-19,USD,INR,71.6778008486
2019-11-19,USD,EUR,0.9027715085
2019-11-19,USD,USD,1.0
2019-12-12,USD,GBP,0.7592708988
2019-12-12,USD,INR,70.8768070396
2019-12-12,USD,EUR,0.8979078747
2019-12-12,USD,USD,1.0
2019-11-01,USD,GBP,0.7721339438
2019-11-01,USD,INR,70.7568004309
2019-11-01,USD,EUR,0.8977466559
2019-11-01,USD,USD,1.0
2019-06-14,USD,GBP,0.7908832668
2019-06-14,USD,INR,69.7807367954
2019-06-14,USD,EUR,0.8877052818
2019-06-14,USD,USD,1.0
2019-07-12,USD,GBP,0.7979027815
2019-07-12,USD,INR,68.6412512219
2019-07-12,USD,EUR,0.888651915
2019-07-12,USD,USD,1.0
2020-03-12,USD,GBP,0.7884608541
2020-03-12,USD,INR,74.2597864769
2020-03-12,USD,EUR,0.8896797153
2020-03-12,USD,USD,1.0
2020-02-12,USD,GBP,0.7701850834
2020-02-12,USD,INR,71.3161993769
2020-02-12,USD,EUR,0.9162543522
2020-02-12,USD,USD,1.0
2019-12-06,USD,GBP,0.761249324
2019-12-06,USD,INR,71.2488732648
2019-12-06,USD,EUR,0.9013881377
2019-12-06,USD,USD,1.0
2019-12-10,USD,GBP,0.7589870904
2019-12-10,USD,INR,70.9226324817
2019-12-10,USD,EUR,0.9027715085
2019-12-10,USD,USD,1.0
2020-03-05,USD,GBP,0.7747385358
2020-03-05,USD,INR,73.4361312237
2020-03-05,USD,EUR,0.8938946992
2020-03-05,USD,USD,1.0
2019-08-02,USD,GBP,0.823924005
2019-08-02,USD,INR,69.6380334954
2019-08-02,USD,EUR,0.9004141905
2019-08-02,USD,USD,1.0
2020-01-23,USD,GBP,0.7618609684
2020-01-23,USD,INR,71.3159318366
2020-01-23,USD,EUR,0.9016319538
2020-01-23,USD,USD,1.0
2020-05-08,USD,GBP,0.8072950291
2020-05-08,USD,INR,75.5893202988
2020-05-08,USD,EUR,0.9222539887
2020-05-08,USD,USD,1.0
2020-01-20,USD,GBP,0.7692828146
2020-01-20,USD,INR,71.0726206585
2020-01-20,USD,EUR,0.902119982
2020-01-20,USD,USD,1.0
2020-02-27,USD,GBP,0.7752188982
2020-02-27,USD,INR,71.6326158336
2020-02-27,USD,EUR,0.9120758847
2020-02-27,USD,USD,1.0
2020-03-11,USD,GBP,0.7735532816
2020-03-11,USD,INR,73.6781051517
2020-03-11,USD,EUR,0.8821453776
2020-03-11,USD,USD,1.0
2019-09-10,USD,GBP,0.8088768116
2019-09-10,USD,INR,71.9035326087
2019-09-10,USD,EUR,0.9057971014
2019-09-10,USD,USD,1.0
2019-10-28,USD,GBP,0.7786416524
2019-10-28,USD,INR,70.7454676648
2019-10-28,USD,EUR,0.9019572472
2019-10-28,USD,USD,1.0
2019-07-24,USD,GBP,0.8002064632
2019-07-24,USD,INR,68.9663375224
2019-07-24,USD,EUR,0.8976660682
2019-07-24,USD,USD,1.0
2019-10-30,USD,GBP,0.7761570322
2019-10-30,USD,INR,70.926075995
2019-10-30,USD,EUR,0.9004141905
2019-10-30,USD,USD,1.0
2019-10-10,USD,GBP,0.8173617407
2019-10-10,USD,INR,71.0385312783
2019-10-10,USD,EUR,0.9066183137
2019-10-10,USD,USD,1.0
2019-07-26,USD,GBP,0.8047495062
2019-07-26,USD,INR,68.8992637816
2019-07-26,USD,EUR,0.897827258
2019-07-26,USD,USD,1.0
2019-12-04,USD,GBP,0.7635592456
2019-12-04,USD,INR,71.5291941161
2019-12-04,USD,EUR,0.9024456277
2019-12-04,USD,USD,1.0
2020-03-18,USD,GBP,0.8431498079
2020-03-18,USD,INR,74.2047740991
2020-03-18,USD,EUR,0.9145783794
2020-03-18,USD,USD,1.0
2019-06-19,USD,GBP,0.7943249755
2019-06-19,USD,INR,69.6667261533
2019-06-19,USD,EUR,0.8922994557
2019-06-19,USD,USD,1.0
2019-08-08,USD,GBP,0.8229697132
2019-08-08,USD,INR,70.7361743947
2019-08-08,USD,EUR,0.8934155276
2019-08-08,USD,USD,1.0
2019-11-18,USD,GBP,0.7714492361
2019-11-18,USD,INR,71.8072507007
2019-11-18,USD,EUR,0.904077389
2019-11-18,USD,USD,1.0
2019-08-05,USD,GBP,0.8216776963
2019-08-05,USD,INR,70.7859953497
2019-08-05,USD,EUR,0.8942944017
2019-08-05,USD,USD,1.0
2019-09-09,USD,GBP,0.8091634188
2019-09-09,USD,INR,71.6772410043
2019-09-09,USD,EUR,0.9063717937
2019-09-09,USD,USD,1.0
2020-01-31,USD,GBP,0.7616268549
2020-01-31,USD,INR,71.3947701773
2020-01-31,USD,EUR,0.9048136084
2020-01-31,USD,USD,1.0
2020-01-15,USD,GBP,0.7690091546
2020-01-15,USD,INR,70.7974331359
2020-01-15,USD,EUR,0.8975049363
2020-01-15,USD,USD,1.0
2020-01-06,USD,GBP,0.76125603
2020-01-06,USD,INR,71.9291584778
2020-01-06,USD,EUR,0.8933357156
2020-01-06,USD,USD,1.0
2019-08-28,USD,GBP,0.8194802851
2019-08-28,USD,INR,71.8131372372
2019-08-28,USD,EUR,0.9022827754
2019-08-28,USD,USD,1.0
2020-02-18,USD,GBP,0.7672429734
